count,pitchcount,PitchNo,Date,time1,time2,time3,PAofInning,PitchofPA,Pitcher,PitcherThrows,PitcherTeam,dajun,Batter,BatterSide,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,memo,RelSpeed,PlateLocHeight,PlateLocSide,caught_distance,caught_direction,HomeTeam,hometeam_color,hometeam_abb,AwayTeam,awayteam_color,awayteam_abb,Stadium,Level,League,fielding_alignment,Notes,on_1b,on_2b,on_3b,runevent,run_person,error_person,scored_person,relateddefencepos,fielding_sequence,playid,result,description,c_time,c_URL,n_time,n_URL,C,1B,2B,3B,SS,LF,CF,RF,BOh,BOa,DOh,DOa,LRh,LRa,Batter_romaji,on_1b_romaji,on_2b_romaji,on_3b_romaji,runevent_romaji,scored_person_romaji,Pitcher_romaji,C_romaji,1B_romaji,2B_romaji,3B_romaji,SS_romaji,LF_romaji,CF_romaji,RF_romaji,error_person_romaji
59,39.0,57.0,2025/3/12,2965.266076,2676.266077,1741743793,5.0,5.0,pos1,Right,GXAスカイホークス,5,深見,Left,TOK,2,Top,1,2,2,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,114.0,0.19,-0.096,,,GXAスカイホークス,#050505,GXA,TOK,#217fc4,東大,大和,B,春季オープン戦,Normal,3,,,横井,Nothing,,,,,,2507020059,ボール,,2963.0,https://youtu.be/Jyu6IJPUpVs&t=2963,1117.0,https://youtu.be/aTQ94zDNQF8&t=1117,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","安田,岡林,横井,スタンリー,深見,山本,石川,塗師,小田","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","永島,深見,横井,塗師,石川,小田,山本,岡林,安田","R,L,R,R,L,R,R,R,R,R","R,L,L,R,R,L,R,R,R,R","Yuto, Fukami",,,"Shuntaro, Yokoi",,,,,,,,,,,,
60,40.0,58.0,2025/3/12,2988.405398,2699.405399,1741743817,5.0,6.0,pos1,Right,GXAスカイホークス,5,深見,Left,TOK,2,Top,1,3,2,Slider,BallCalled,Walk,Undefined,Undefined,0,1,,,0.15,-0.048,,,GXAスカイホークス,#050505,GXA,TOK,#217fc4,東大,大和,B,春季オープン戦,Normal,3,,,横井,PassBall,"深見,横井",,横井,,,2507020060,四球[PB]①,,2986.0,https://youtu.be/Jyu6IJPUpVs&t=2986,1141.0,https://youtu.be/aTQ94zDNQF8&t=1141,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","安田,岡林,横井,スタンリー,深見,山本,石川,塗師,小田","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","永島,深見,横井,塗師,石川,小田,山本,岡林,安田","R,L,R,R,L,R,R,R,R,R","R,L,L,R,R,L,R,R,R,R","Yuto, Fukami",,,"Shuntaro, Yokoi",,"Shuntaro, Yokoi",,,,,,,,,,
61,,,2025/3/12,3022.068837,2733.068839,1741743850,,,pos1,Right,GXAスカイホークス,6,山本,Right,TOK,2,Top,1,0,0,,,,,,0,0,,,,,,,GXAスカイホークス,#050505,GXA,TOK,#217fc4,東大,大和,B,春季オープン戦,Normal,1,深見,,,PickOff,,,,"1,3","1,3",2507020061,牽制,,3020.0,https://youtu.be/Jyu6IJPUpVs&t=3020,1175.0,https://youtu.be/aTQ94zDNQF8&t=1175,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","安田,岡林,横井,スタンリー,深見,山本,石川,塗師,小田","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","永島,深見,横井,塗師,石川,小田,山本,岡林,安田","R,L,R,R,L,R,R,R,R,R","R,L,L,R,R,L,R,R,R,R","Akira, Yamamoto","Yuto, Fukami",,,,,,,,,,,,,,
62,41.0,59.0,2025/3/12,3033.613731,2744.613733,1741743862,6.0,1.0,pos1,Right,GXAスカイホークス,6,山本,Right,TOK,2,Top,1,0,0,Fastball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,128.0,1.01,0.12,,,GXAスカイホークス,#050505,GXA,TOK,#217fc4,東大,大和,B,春季オープン戦,Normal,1,深見,,,Nothing,,,,,,2507020062,空振り,,3031.0,https://youtu.be/Jyu6IJPUpVs&t=3031,1186.0,https://youtu.be/aTQ94zDNQF8&t=1186,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","安田,岡林,横井,スタンリー,深見,山本,石川,塗師,小田","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","永島,深見,横井,塗師,石川,小田,山本,岡林,安田","R,L,R,R,L,R,R,R,R,R","R,L,L,R,R,L,R,R,R,R","Akira, Yamamoto","Yuto, Fukami",,,,,,,,,,,,,,
63,,,2025/3/12,3049.768861,2760.768863,1741743878,,,pos1,Right,GXAスカイホークス,6,山本,Right,TOK,2,Top,1,0,1,,,,,,0,0,,,,,,,GXAスカイホークス,#050505,GXA,TOK,#217fc4,東大,大和,B,春季オープン戦,Normal,1,深見,,,PickOff,,,,"1,3","1,3",2507020063,牽制,,3047.0,https://youtu.be/Jyu6IJPUpVs&t=3047,1203.0,https://youtu.be/aTQ94zDNQF8&t=1203,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","安田,岡林,横井,スタンリー,深見,山本,石川,塗師,小田","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","永島,深見,横井,塗師,石川,小田,山本,岡林,安田","R,L,R,R,L,R,R,R,R,R","R,L,L,R,R,L,R,R,R,R","Akira, Yamamoto","Yuto, Fukami",,,,,,,,,,,,,,
64,42.0,60.0,2025/3/12,3062.002215,2773.002217,1741743890,6.0,2.0,pos1,Right,GXAスカイホークス,6,山本,Right,TOK,2,Top,1,0,1,Fastball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,124.0,1.083,0.22,,,GXAスカイホークス,#050505,GXA,TOK,#217fc4,東大,大和,B,春季オープン戦,Normal,1,深見,,,StolenBase,深見,,,,,2507020064,空振り[盗塁],,3060.0,https://youtu.be/Jyu6IJPUpVs&t=3060,1215.0,https://youtu.be/aTQ94zDNQF8&t=1215,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","安田,岡林,横井,スタンリー,深見,山本,石川,塗師,小田","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","永島,深見,横井,塗師,石川,小田,山本,岡林,安田","R,L,R,R,L,R,R,R,R,R","R,L,L,R,R,L,R,R,R,R","Akira, Yamamoto","Yuto, Fukami",,,,,,,,,,,,,,
65,43.0,61.0,2025/3/12,3092.713315,2803.713316,1741743921,6.0,3.0,pos1,Right,GXAスカイホークス,6,山本,Right,TOK,2,Top,1,0,2,Fastball,InPlay,Undefined,FlyBall,Out,1,0,,,0.57,-0.224,79.38611587,1.70346161,GXAスカイホークス,#050505,GXA,TOK,#217fc4,東大,大和,B,春季オープン戦,Normal,2,,深見,,Undefined,,,,8,8,2507020065,中飛,,3090.0,https://youtu.be/Jyu6IJPUpVs&t=3090,1246.0,https://youtu.be/aTQ94zDNQF8&t=1246,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","安田,岡林,横井,スタンリー,深見,山本,石川,塗師,小田","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","永島,深見,横井,塗師,石川,小田,山本,岡林,安田","R,L,R,R,L,R,R,R,R,R","R,L,L,R,R,L,R,R,R,R","Akira, Yamamoto",,"Yuto, Fukami",,,,,,,,,,,,,
66,44.0,62.0,2025/3/12,3127.098188,2838.09819,1741743955,7.0,1.0,pos1,Right,GXAスカイホークス,7,石川,Right,TOK,2,Top,2,0,0,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,124.0,0.542,-0.236,,,GXAスカイホークス,#050505,GXA,TOK,#217fc4,東大,大和,B,春季オープン戦,Normal,2,,深見,,Nothing,,,,,,2507020066,見逃し,,3125.0,https://youtu.be/Jyu6IJPUpVs&t=3125,1280.0,https://youtu.be/aTQ94zDNQF8&t=1280,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","安田,岡林,横井,スタンリー,深見,山本,石川,塗師,小田","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","永島,深見,横井,塗師,石川,小田,山本,岡林,安田","R,L,R,R,L,R,R,R,R,R","R,L,L,R,R,L,R,R,R,R","Hikaru, Ishikawa",,"Yuto, Fukami",,,,,,,,,,,,,
67,45.0,63.0,2025/3/12,3143.773168,2854.773169,1741743972,7.0,2.0,pos1,Right,GXAスカイホークス,7,石川,Right,TOK,2,Top,2,0,1,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,123.0,1.203,-0.256,,,GXAスカイホークス,#050505,GXA,TOK,#217fc4,東大,大和,B,春季オープン戦,Normal,2,,深見,,Nothing,,,,,,2507020067,ボール,,3141.0,https://youtu.be/Jyu6IJPUpVs&t=3141,1297.0,https://youtu.be/aTQ94zDNQF8&t=1297,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","安田,岡林,横井,スタンリー,深見,山本,石川,塗師,小田","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","永島,深見,横井,塗師,石川,小田,山本,岡林,安田","R,L,R,R,L,R,R,R,R,R","R,L,L,R,R,L,R,R,R,R","Hikaru, Ishikawa",,"Yuto, Fukami",,,,,,,,,,,,,
68,46.0,64.0,2025/3/12,3164.219597,2875.219598,1741743992,7.0,3.0,pos1,Right,GXAスカイホークス,7,石川,Right,TOK,2,Top,2,1,1,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,108.0,1.09,0.248,,,GXAスカイホークス,#050505,GXA,TOK,#217fc4,東大,大和,B,春季オープン戦,Normal,2,,深見,,Nothing,,,,,,2507020068,空振り,,3162.0,https://youtu.be/Jyu6IJPUpVs&t=3162,1234.0,https://youtu.be/aTQ94zDNQF8&t=1234,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","安田,岡林,横井,スタンリー,深見,山本,石川,塗師,小田","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","永島,深見,横井,塗師,石川,小田,山本,岡林,安田","R,L,R,R,L,R,R,R,R,R","R,L,L,R,R,L,R,R,R,R","Hikaru, Ishikawa",,"Yuto, Fukami",,,,,,,,,,,,,
69,47.0,65.0,2025/3/12,3187.537252,2898.537253,1741744016,7.0,4.0,pos1,Right,GXAスカイホークス,7,石川,Right,TOK,2,Top,2,1,2,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,127.0,0.594,-0.44,,,GXAスカイホークス,#050505,GXA,TOK,#217fc4,東大,大和,B,春季オープン戦,Normal,2,,深見,,Nothing,,,,,,2507020069,ボール,,3185.0,https://youtu.be/Jyu6IJPUpVs&t=3185,1257.0,https://youtu.be/aTQ94zDNQF8&t=1257,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","安田,岡林,横井,スタンリー,深見,山本,石川,塗師,小田","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","永島,深見,横井,塗師,石川,小田,山本,岡林,安田","R,L,R,R,L,R,R,R,R,R","R,L,L,R,R,L,R,R,R,R","Hikaru, Ishikawa",,"Yuto, Fukami",,,,,,,,,,,,,
70,48.0,66.0,2025/3/12,3208.760804,2919.760806,1741744037,7.0,5.0,pos1,Right,GXAスカイホークス,7,石川,Right,TOK,2,Top,2,2,2,Slider,InPlay,Undefined,GroundBall,Single,0,0,,108.0,0.61,-0.347,63.00542454,6.991925347,GXAスカイホークス,#050505,GXA,TOK,#217fc4,東大,大和,B,春季オープン戦,Normal,2,,深見,,Undefined,,,,8,8,2507020070,中安,,3206.0,https://youtu.be/Jyu6IJPUpVs&t=3206,1279.0,https://youtu.be/aTQ94zDNQF8&t=1279,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","安田,岡林,横井,スタンリー,深見,山本,石川,塗師,小田","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","永島,深見,横井,塗師,石川,小田,山本,岡林,安田","R,L,R,R,L,R,R,R,R,R","R,L,L,R,R,L,R,R,R,R","Hikaru, Ishikawa",,"Yuto, Fukami",,,,,,,,,,,,,
71,,,2025/3/12,3258.337991,2969.337992,1741744087,,,pos1,Right,GXAスカイホークス,8,塗師,Right,TOK,2,Top,2,0,0,,,,,,0,0,,,,,,,GXAスカイホークス,#050505,GXA,TOK,#217fc4,東大,大和,B,春季オープン戦,Normal,"1,3",石川,,深見,PickOff,,,,"1,3","1,3",2507020071,牽制,,3256.0,https://youtu.be/Jyu6IJPUpVs&t=3256,1328.0,https://youtu.be/aTQ94zDNQF8&t=1328,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","安田,岡林,横井,スタンリー,深見,山本,石川,塗師,小田","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","永島,深見,横井,塗師,石川,小田,山本,岡林,安田","R,L,R,R,L,R,R,R,R,R","R,L,L,R,R,L,R,R,R,R","Takuma, Nushi","Hikaru, Ishikawa",,"Yuto, Fukami",,,,,,,,,,,,
72,49.0,67.0,2025/3/12,3269.97187,2980.971871,1741744098,8.0,1.0,pos1,Right,GXAスカイホークス,8,塗師,Right,TOK,2,Top,2,0,0,Cutter,StrikeCalled,Undefined,Undefined,Undefined,0,0,,120.0,0.538,-0.2,,,GXAスカイホークス,#050505,GXA,TOK,#217fc4,東大,大和,B,春季オープン戦,Normal,"1,3",石川,,深見,Nothing,,,,,,2507020072,見逃し,,3267.0,https://youtu.be/Jyu6IJPUpVs&t=3267,1340.0,https://youtu.be/aTQ94zDNQF8&t=1340,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","安田,岡林,横井,スタンリー,深見,山本,石川,塗師,小田","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","永島,深見,横井,塗師,石川,小田,山本,岡林,安田","R,L,R,R,L,R,R,R,R,R","R,L,L,R,R,L,R,R,R,R","Takuma, Nushi","Hikaru, Ishikawa",,"Yuto, Fukami",,,,,,,,,,,,
73,50.0,68.0,2025/3/12,3289.316485,3000.316486,1741744118,8.0,2.0,pos1,Right,GXAスカイホークス,8,塗師,Right,TOK,2,Top,2,0,1,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,0.998,0.024,,,GXAスカイホークス,#050505,GXA,TOK,#217fc4,東大,大和,B,春季オープン戦,Normal,"1,3",石川,,深見,Nothing,,,,,,2507020073,見逃し,,3287.0,https://youtu.be/Jyu6IJPUpVs&t=3287,1339.0,https://youtu.be/aTQ94zDNQF8&t=1339,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","安田,岡林,横井,スタンリー,深見,山本,石川,塗師,小田","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","永島,深見,横井,塗師,石川,小田,山本,岡林,安田","R,L,R,R,L,R,R,R,R,R","R,L,L,R,R,L,R,R,R,R","Takuma, Nushi","Hikaru, Ishikawa",,"Yuto, Fukami",,,,,,,,,,,,
74,51.0,69.0,2025/3/12,3308.579118,3019.57912,1741744137,8.0,3.0,pos1,Right,GXAスカイホークス,8,塗師,Right,TOK,2,Top,2,0,2,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,,0.063,0.264,,,GXAスカイホークス,#050505,GXA,TOK,#217fc4,東大,大和,B,春季オープン戦,Normal,"1,3",石川,,深見,StolenBase,石川,,,,,2507020074,ボール[盗塁],,3306.0,https://youtu.be/Jyu6IJPUpVs&t=3306,1358.0,https://youtu.be/aTQ94zDNQF8&t=1358,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","安田,岡林,横井,スタンリー,深見,山本,石川,塗師,小田","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","永島,深見,横井,塗師,石川,小田,山本,岡林,安田","R,L,R,R,L,R,R,R,R,R","R,L,L,R,R,L,R,R,R,R","Takuma, Nushi","Hikaru, Ishikawa",,"Yuto, Fukami",,,,,,,,,,,,
75,52.0,70.0,2025/3/12,3334.781254,3045.781255,1741744163,8.0,4.0,pos1,Right,GXAスカイホークス,8,塗師,Right,TOK,2,Top,2,1,2,Fastball,FoulBall,Undefined,FlyBall,Undefined,0,0,,123.0,0.554,0.116,58.65164375,60.46957477,GXAスカイホークス,#050505,GXA,TOK,#217fc4,東大,大和,B,春季オープン戦,Normal,"2,3",,石川,深見,Undefined,,,,,,2507020075,ファール,,3332.0,https://youtu.be/Jyu6IJPUpVs&t=3332,1384.0,https://youtu.be/aTQ94zDNQF8&t=1384,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","安田,岡林,横井,スタンリー,深見,山本,石川,塗師,小田","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","永島,深見,横井,塗師,石川,小田,山本,岡林,安田","R,L,R,R,L,R,R,R,R,R","R,L,L,R,R,L,R,R,R,R","Takuma, Nushi",,"Hikaru, Ishikawa","Yuto, Fukami",,,,,,,,,,,,
76,53.0,71.0,2025/3/12,3356.874545,3067.874547,1741744185,8.0,5.0,pos1,Right,GXAスカイホークス,8,塗師,Right,TOK,2,Top,2,1,2,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,103.0,0.123,-0.256,,,GXAスカイホークス,#050505,GXA,TOK,#217fc4,東大,大和,B,春季オープン戦,Normal,"2,3",,石川,深見,Nothing,,,,,,2507020076,ボール,,3354.0,https://youtu.be/Jyu6IJPUpVs&t=3354,1406.0,https://youtu.be/aTQ94zDNQF8&t=1406,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","安田,岡林,横井,スタンリー,深見,山本,石川,塗師,小田","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","永島,深見,横井,塗師,石川,小田,山本,岡林,安田","R,L,R,R,L,R,R,R,R,R","R,L,L,R,R,L,R,R,R,R","Takuma, Nushi",,"Hikaru, Ishikawa","Yuto, Fukami",,,,,,,,,,,,
77,54.0,72.0,2025/3/12,3379.094789,3090.094791,1741744207,8.0,6.0,pos1,Right,GXAスカイホークス,8,塗師,Right,TOK,2,Top,2,2,2,Fastball,InPlay,Undefined,GroundBall,Out,1,0,,127.0,0.554,-0.048,15.33923304,0.0,GXAスカイホークス,#050505,GXA,TOK,#217fc4,東大,大和,B,春季オープン戦,Normal,"2,3",,石川,深見,Undefined,,,,"1,3","1,3A",2507020077,投ゴ,,3377.0,https://youtu.be/Jyu6IJPUpVs&t=3377,1429.0,https://youtu.be/aTQ94zDNQF8&t=1429,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","安田,岡林,横井,スタンリー,深見,山本,石川,塗師,小田","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","永島,深見,横井,塗師,石川,小田,山本,岡林,安田","R,L,R,R,L,R,R,R,R,R","R,L,L,R,R,L,R,R,R,R","Takuma, Nushi",,"Hikaru, Ishikawa","Yuto, Fukami",,,,,,,,,,,,
78,19.0,73.0,2025/3/12,3509.66652,3220.666521,1741744338,1.0,1.0,永島,Right,TOK,6,batter6,Right,GXAスカイホークス,2,Bottom,0,0,0,Cutter,BallCalled,Undefined,Undefined,Undefined,0,0,,114.0,0.706,0.44,,,GXAスカイホークス,#050505,GXA,TOK,#217fc4,東大,大和,B,春季オープン戦,Normal,,,,,Nothing,,,,,,2507020078,ボール,,3507.0,https://youtu.be/Jyu6IJPUpVs&t=3507,1493.0,https://youtu.be/aTQ94zDNQF8&t=1493,深見,横井,塗師,石川,小田,山本,岡林,安田,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","安田,岡林,横井,スタンリー,深見,山本,石川,塗師,小田","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","永島,深見,横井,塗師,石川,小田,山本,岡林,安田","R,L,R,R,L,R,R,R,R,R","R,L,L,R,R,L,R,R,R,R",,,,,,,"Haruki, Nagashima","Yuto, Fukami","Shuntaro, Yokoi","Takuma, Nushi","Hikaru, Ishikawa","Shu, Oda","Akira, Yamamoto","Yuna, Okabayashi","Ken, Yasuda",
79,20.0,74.0,2025/3/12,3521.606232,3232.606233,1741744350,1.0,2.0,永島,Right,TOK,6,batter6,Right,GXAスカイホークス,2,Bottom,0,1,0,Slider,InPlay,Undefined,FlyBall,Error,0,0,,,0.403,-0.188,42.54337788,19.44003483,GXAスカイホークス,#050505,GXA,TOK,#217fc4,東大,大和,B,春季オープン戦,Normal,,,,,Undefined,,,,4,4,2507020079,二飛失,,3519.0,https://youtu.be/Jyu6IJPUpVs&t=3519,1505.0,https://youtu.be/aTQ94zDNQF8&t=1505,深見,横井,塗師,石川,小田,山本,岡林,安田,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","安田,岡林,横井,スタンリー,深見,山本,石川,塗師,小田","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","永島,深見,横井,塗師,石川,小田,山本,岡林,安田","R,L,R,R,L,R,R,R,R,R","R,L,L,R,R,L,R,R,R,R",,,,,,,"Haruki, Nagashima","Yuto, Fukami","Shuntaro, Yokoi","Takuma, Nushi","Hikaru, Ishikawa","Shu, Oda","Akira, Yamamoto","Yuna, Okabayashi","Ken, Yasuda",
80,21.0,75.0,2025/3/12,3555.329031,3266.329032,1741744384,2.0,1.0,永島,Right,TOK,7,batter7,Right,GXAスカイホークス,2,Bottom,0,0,0,Slider,FoulBall,Undefined,Bunt,Undefined,0,0,A2B,109.0,0.466,0.1,15.60078799,-74.64986351,GXAスカイホークス,#050505,GXA,TOK,#217fc4,東大,大和,B,春季オープン戦,Normal,1,batter6,,,Undefined,,,,,,2507020080,ファール,,3553.0,https://youtu.be/Jyu6IJPUpVs&t=3553,1539.0,https://youtu.be/aTQ94zDNQF8&t=1539,深見,横井,塗師,石川,小田,山本,岡林,安田,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","安田,岡林,横井,スタンリー,深見,山本,石川,塗師,小田","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","永島,深見,横井,塗師,石川,小田,山本,岡林,安田","R,L,R,R,L,R,R,R,R,R","R,L,L,R,R,L,R,R,R,R",,,,,,,"Haruki, Nagashima","Yuto, Fukami","Shuntaro, Yokoi","Takuma, Nushi","Hikaru, Ishikawa","Shu, Oda","Akira, Yamamoto","Yuna, Okabayashi","Ken, Yasuda",
81,22.0,76.0,2025/3/12,3587.89239,3298.892391,1741744416,2.0,2.0,永島,Right,TOK,7,batter7,Right,GXAスカイホークス,2,Bottom,0,0,1,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,,0.618,-0.433,,,GXAスカイホークス,#050505,GXA,TOK,#217fc4,東大,大和,B,春季オープン戦,Normal,1,batter6,,,Nothing,,,,,,2507020081,ボール,,3585.0,https://youtu.be/Jyu6IJPUpVs&t=3585,1530.0,https://youtu.be/aTQ94zDNQF8&t=1530,深見,横井,塗師,石川,小田,山本,岡林,安田,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","安田,岡林,横井,スタンリー,深見,山本,石川,塗師,小田","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","永島,深見,横井,塗師,石川,小田,山本,岡林,安田","R,L,R,R,L,R,R,R,R,R","R,L,L,R,R,L,R,R,R,R",,,,,,,"Haruki, Nagashima","Yuto, Fukami","Shuntaro, Yokoi","Takuma, Nushi","Hikaru, Ishikawa","Shu, Oda","Akira, Yamamoto","Yuna, Okabayashi","Ken, Yasuda",
82,23.0,77.0,2025/3/12,3606.943143,3317.943144,1741744435,2.0,3.0,永島,Right,TOK,7,batter7,Right,GXAスカイホークス,2,Bottom,0,1,1,Cutter,InPlay,Undefined,GroundBall,Out,2,0,,,0.566,0.168,34.64413082,-38.43123588,GXAスカイホークス,#050505,GXA,TOK,#217fc4,東大,大和,B,春季オープン戦,Normal,1,batter6,,,Undefined,,,,"5,4,3","5,4B,3A",2507020082,三ゴ併,,3604.0,https://youtu.be/Jyu6IJPUpVs&t=3604,1549.0,https://youtu.be/aTQ94zDNQF8&t=1549,深見,横井,塗師,石川,小田,山本,岡林,安田,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","安田,岡林,横井,スタンリー,深見,山本,石川,塗師,小田","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","永島,深見,横井,塗師,石川,小田,山本,岡林,安田","R,L,R,R,L,R,R,R,R,R","R,L,L,R,R,L,R,R,R,R",,,,,,,"Haruki, Nagashima","Yuto, Fukami","Shuntaro, Yokoi","Takuma, Nushi","Hikaru, Ishikawa","Shu, Oda","Akira, Yamamoto","Yuna, Okabayashi","Ken, Yasuda",
83,24.0,78.0,2025/3/12,3635.496295,3346.496296,1741744464,3.0,1.0,永島,Right,TOK,8,batter8,Right,GXAスカイホークス,2,Bottom,2,0,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,116.0,0.23,-0.24,,,GXAスカイホークス,#050505,GXA,TOK,#217fc4,東大,大和,B,春季オープン戦,Normal,,,,,Nothing,,,,,,2507020083,ボール,,3633.0,https://youtu.be/Jyu6IJPUpVs&t=3633,1562.0,https://youtu.be/aTQ94zDNQF8&t=1562,深見,横井,塗師,石川,小田,山本,岡林,安田,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","安田,岡林,横井,スタンリー,深見,山本,石川,塗師,小田","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","永島,深見,横井,塗師,石川,小田,山本,岡林,安田","R,L,R,R,L,R,R,R,R,R","R,L,L,R,R,L,R,R,R,R",,,,,,,"Haruki, Nagashima","Yuto, Fukami","Shuntaro, Yokoi","Takuma, Nushi","Hikaru, Ishikawa","Shu, Oda","Akira, Yamamoto","Yuna, Okabayashi","Ken, Yasuda",
