count,pitchcount,PitchNo,Date,time1,time2,time3,PAofInning,PitchofPA,Pitcher,PitcherThrows,PitcherTeam,dajun,Batter,BatterSide,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,memo,RelSpeed,PlateLocHeight,PlateLocSide,caught_distance,caught_direction,HomeTeam,hometeam_color,hometeam_abb,AwayTeam,awayteam_color,awayteam_abb,Stadium,Level,League,fielding_alignment,Notes,on_1b,on_2b,on_3b,runevent,run_person,error_person,scored_person,relateddefencepos,fielding_sequence,playid,result,description,c_time,c_URL,n_time,n_URL,C,1B,2B,3B,SS,LF,CF,RF,BOh,BOa,DOh,DOa,LRh,LRa
60,,,2025/2/18,4409.635225,4184.635227,1739856361,,,松本慎,Left,TOK,9,batter9,Left,福岡大,2,Bottom,1,1,1,nan,nan,nan,nan,nan,0,0,nan,,,,,,福岡大,#bc0015,福岡大,TOK,#217fc4,東大,福岡大G,A,春季オープン戦,Normal,1,batter8,nan,nan,PickOff,nan,nan,nan,"1,3","1,3",2504810060,牽制,,4407.0,https://youtu.be/6fvRWZlnXt4&t=4407,1839.0,https://youtu.be/Pf4AXbC6-x8&t=1839,杉浦,門田,秋元,青貝,小村,大原,酒井,竹山,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","酒井,竹山,門田,大原,杉浦,秋元,矢田貝,青貝,小村","pos1,batter8,batter5,batter3,batter1,batter9,batter6,batter7,batter4","松本慎,杉浦,門田,秋元,青貝,小村,大原,酒井,竹山","L,R,L,L,R,R,L,L,R,L","R,L,R,R,R,R,R,R,R,L"
61,,,2025/2/18,4423.704403,4198.704404,1739856375,,,松本慎,Left,TOK,9,batter9,Left,福岡大,2,Bottom,1,1,1,nan,nan,nan,nan,nan,0,0,nan,,,,,,福岡大,#bc0015,福岡大,TOK,#217fc4,東大,福岡大G,A,春季オープン戦,Normal,1,batter8,nan,nan,PickOff,nan,nan,nan,"1,3","1,3",2504810061,牽制,,4421.0,https://youtu.be/6fvRWZlnXt4&t=4421,1854.0,https://youtu.be/Pf4AXbC6-x8&t=1854,杉浦,門田,秋元,青貝,小村,大原,酒井,竹山,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","酒井,竹山,門田,大原,杉浦,秋元,矢田貝,青貝,小村","pos1,batter8,batter5,batter3,batter1,batter9,batter6,batter7,batter4","松本慎,杉浦,門田,秋元,青貝,小村,大原,酒井,竹山","L,R,L,L,R,R,L,L,R,L","R,L,R,R,R,R,R,R,R,L"
62,35.0,59.0,2025/2/18,4436.068492,4211.068494,1739856387,3.0,3.0,松本慎,Left,TOK,9,batter9,Left,福岡大,2,Bottom,1,1,1,Cutter,StrikeCalled,Undefined,Undefined,Undefined,0,0,nan,,1.006,-0.116,,,福岡大,#bc0015,福岡大,TOK,#217fc4,東大,福岡大G,A,春季オープン戦,Normal,1,batter8,nan,nan,Nothing,nan,nan,nan,nan,nan,2504810062,見逃し,,4434.0,https://youtu.be/6fvRWZlnXt4&t=4434,1866.0,https://youtu.be/Pf4AXbC6-x8&t=1866,杉浦,門田,秋元,青貝,小村,大原,酒井,竹山,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","酒井,竹山,門田,大原,杉浦,秋元,矢田貝,青貝,小村","pos1,batter8,batter5,batter3,batter1,batter9,batter6,batter7,batter4","松本慎,杉浦,門田,秋元,青貝,小村,大原,酒井,竹山","L,R,L,L,R,R,L,L,R,L","R,L,R,R,R,R,R,R,R,L"
63,36.0,60.0,2025/2/18,4454.875373,4229.875374,1739856406,3.0,4.0,松本慎,Left,TOK,9,batter9,Left,福岡大,2,Bottom,1,1,2,Fastball,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,nan,121.0,1.018,-0.248,,,福岡大,#bc0015,福岡大,TOK,#217fc4,東大,福岡大G,A,春季オープン戦,Normal,1,batter8,nan,nan,Nothing,nan,nan,nan,nan,nan,2504810063,空三振,,4452.0,https://youtu.be/6fvRWZlnXt4&t=4452,1885.0,https://youtu.be/Pf4AXbC6-x8&t=1885,杉浦,門田,秋元,青貝,小村,大原,酒井,竹山,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","酒井,竹山,門田,大原,杉浦,秋元,矢田貝,青貝,小村","pos1,batter8,batter5,batter3,batter1,batter9,batter6,batter7,batter4","松本慎,杉浦,門田,秋元,青貝,小村,大原,酒井,竹山","L,R,L,L,R,R,L,L,R,L","R,L,R,R,R,R,R,R,R,L"
64,37.0,61.0,2025/2/18,4487.171595,4262.171596,1739856439,4.0,1.0,松本慎,Left,TOK,1,batter1,Right,福岡大,2,Bottom,2,0,0,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,nan,,0.758,-0.248,,,福岡大,#bc0015,福岡大,TOK,#217fc4,東大,福岡大G,A,春季オープン戦,Normal,1,batter8,nan,nan,Nothing,nan,nan,nan,nan,nan,2504810064,見逃し,,4485.0,https://youtu.be/6fvRWZlnXt4&t=4485,1905.0,https://youtu.be/Pf4AXbC6-x8&t=1905,杉浦,門田,秋元,青貝,小村,大原,酒井,竹山,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","酒井,竹山,門田,大原,杉浦,秋元,矢田貝,青貝,小村","pos1,batter8,batter5,batter3,batter1,batter9,batter6,batter7,batter4","松本慎,杉浦,門田,秋元,青貝,小村,大原,酒井,竹山","L,R,L,L,R,R,L,L,R,L","R,L,R,R,R,R,R,R,R,L"
65,,,2025/2/18,4509.461947,4284.461948,1739856461,,,松本慎,Left,TOK,1,batter1,Right,福岡大,2,Bottom,2,0,1,nan,nan,nan,nan,nan,0,0,nan,,,,,,福岡大,#bc0015,福岡大,TOK,#217fc4,東大,福岡大G,A,春季オープン戦,Normal,1,batter8,nan,nan,PickOff,nan,nan,nan,"1,3","1,3",2504810065,牽制,,4507.0,https://youtu.be/6fvRWZlnXt4&t=4507,1927.0,https://youtu.be/Pf4AXbC6-x8&t=1927,杉浦,門田,秋元,青貝,小村,大原,酒井,竹山,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","酒井,竹山,門田,大原,杉浦,秋元,矢田貝,青貝,小村","pos1,batter8,batter5,batter3,batter1,batter9,batter6,batter7,batter4","松本慎,杉浦,門田,秋元,青貝,小村,大原,酒井,竹山","L,R,L,L,R,R,L,L,R,L","R,L,R,R,R,R,R,R,R,L"
66,38.0,62.0,2025/2/18,4520.176332,4295.176333,1739856472,4.0,2.0,松本慎,Left,TOK,1,batter1,Right,福岡大,2,Bottom,2,0,1,ChangeUp,BallCalled,Undefined,Undefined,Undefined,0,0,nan,,0.237,-0.12,,,福岡大,#bc0015,福岡大,TOK,#217fc4,東大,福岡大G,A,春季オープン戦,Normal,1,batter8,nan,nan,Nothing,nan,nan,nan,nan,nan,2504810066,ボール,,4518.0,https://youtu.be/6fvRWZlnXt4&t=4518,1938.0,https://youtu.be/Pf4AXbC6-x8&t=1938,杉浦,門田,秋元,青貝,小村,大原,酒井,竹山,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","酒井,竹山,門田,大原,杉浦,秋元,矢田貝,青貝,小村","pos1,batter8,batter5,batter3,batter1,batter9,batter6,batter7,batter4","松本慎,杉浦,門田,秋元,青貝,小村,大原,酒井,竹山","L,R,L,L,R,R,L,L,R,L","R,L,R,R,R,R,R,R,R,L"
67,39.0,63.0,2025/2/18,4545.042818,4320.042818,1739856496,4.0,3.0,松本慎,Left,TOK,1,batter1,Right,福岡大,2,Bottom,2,1,1,Cutter,FoulBall,Undefined,GroundBall,Undefined,0,0,nan,,0.498,0.132,35.7711429,-86.21735455,福岡大,#bc0015,福岡大,TOK,#217fc4,東大,福岡大G,A,春季オープン戦,Normal,1,batter8,nan,nan,Undefined,nan,nan,nan,nan,nan,2504810067,ファール,,4543.0,https://youtu.be/6fvRWZlnXt4&t=4543,1962.0,https://youtu.be/Pf4AXbC6-x8&t=1962,杉浦,門田,秋元,青貝,小村,大原,酒井,竹山,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","酒井,竹山,門田,大原,杉浦,秋元,矢田貝,青貝,小村","pos1,batter8,batter5,batter3,batter1,batter9,batter6,batter7,batter4","松本慎,杉浦,門田,秋元,青貝,小村,大原,酒井,竹山","L,R,L,L,R,R,L,L,R,L","R,L,R,R,R,R,R,R,R,L"
68,40.0,64.0,2025/2/18,4569.52586,4344.525861,1739856521,4.0,4.0,松本慎,Left,TOK,1,batter1,Right,福岡大,2,Bottom,2,1,2,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,nan,,0.742,-0.36,,,福岡大,#bc0015,福岡大,TOK,#217fc4,東大,福岡大G,A,春季オープン戦,Normal,1,batter8,nan,nan,Nothing,nan,nan,nan,nan,nan,2504810068,ボール,,4567.0,https://youtu.be/6fvRWZlnXt4&t=4567,1980.0,https://youtu.be/Pf4AXbC6-x8&t=1980,杉浦,門田,秋元,青貝,小村,大原,酒井,竹山,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","酒井,竹山,門田,大原,杉浦,秋元,矢田貝,青貝,小村","pos1,batter8,batter5,batter3,batter1,batter9,batter6,batter7,batter4","松本慎,杉浦,門田,秋元,青貝,小村,大原,酒井,竹山","L,R,L,L,R,R,L,L,R,L","R,L,R,R,R,R,R,R,R,L"
69,41.0,65.0,2025/2/18,4589.62977,4364.629771,1739856541,4.0,5.0,松本慎,Left,TOK,1,batter1,Right,福岡大,2,Bottom,2,2,2,Fastball,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,nan,,0.766,-0.264,,,福岡大,#bc0015,福岡大,TOK,#217fc4,東大,福岡大G,A,春季オープン戦,Normal,1,batter8,nan,nan,Nothing,nan,nan,nan,nan,nan,2504810069,空三振,,4587.0,https://youtu.be/6fvRWZlnXt4&t=4587,2000.0,https://youtu.be/Pf4AXbC6-x8&t=2000,杉浦,門田,秋元,青貝,小村,大原,酒井,竹山,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","酒井,竹山,門田,大原,杉浦,秋元,矢田貝,青貝,小村","pos1,batter8,batter5,batter3,batter1,batter9,batter6,batter7,batter4","松本慎,杉浦,門田,秋元,青貝,小村,大原,酒井,竹山","L,R,L,L,R,R,L,L,R,L","R,L,R,R,R,R,R,R,R,L"
70,25.0,66.0,2025/2/18,4728.761736,4503.761737,1739856680,1.0,1.0,pos1,Right,福岡大,1,酒井,Left,TOK,3,Top,0,0,0,ChangeUp,StrikeCalled,Undefined,Undefined,Undefined,0,0,nan,110.0,0.766,0.276,,,福岡大,#bc0015,福岡大,TOK,#217fc4,東大,福岡大G,A,春季オープン戦,Normal,nan,nan,nan,nan,Nothing,nan,nan,nan,nan,nan,2504810070,見逃し,,4726.0,https://youtu.be/6fvRWZlnXt4&t=4726,2015.0,https://youtu.be/Pf4AXbC6-x8&t=2015,batter8,batter5,batter3,batter1,batter9,batter6,batter7,batter4,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","酒井,竹山,門田,大原,杉浦,秋元,矢田貝,青貝,小村","pos1,batter8,batter5,batter3,batter1,batter9,batter6,batter7,batter4","松本慎,杉浦,門田,秋元,青貝,小村,大原,酒井,竹山","L,R,L,L,R,R,L,L,R,L","R,L,R,R,R,R,R,R,R,L"
71,26.0,67.0,2025/2/18,4738.737741,4513.737742,1739856690,1.0,2.0,pos1,Right,福岡大,1,酒井,Left,TOK,3,Top,0,0,1,ChangeUp,InPlay,Undefined,GroundBall,Out,1,0,nan,109.0,0.698,0.244,30.96080652,30.96375653,福岡大,#bc0015,福岡大,TOK,#217fc4,東大,福岡大G,A,春季オープン戦,Normal,nan,nan,nan,nan,Undefined,nan,nan,nan,"3,1","3,1A",2504810071,一ゴ,,4736.0,https://youtu.be/6fvRWZlnXt4&t=4736,2025.0,https://youtu.be/Pf4AXbC6-x8&t=2025,batter8,batter5,batter3,batter1,batter9,batter6,batter7,batter4,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","酒井,竹山,門田,大原,杉浦,秋元,矢田貝,青貝,小村","pos1,batter8,batter5,batter3,batter1,batter9,batter6,batter7,batter4","松本慎,杉浦,門田,秋元,青貝,小村,大原,酒井,竹山","L,R,L,L,R,R,L,L,R,L","R,L,R,R,R,R,R,R,R,L"
72,27.0,68.0,2025/2/18,4771.690151,4546.690152,1739856723,2.0,1.0,pos1,Right,福岡大,2,竹山,Right,TOK,3,Top,1,0,0,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,nan,95.0,1.177,-0.387,,,福岡大,#bc0015,福岡大,TOK,#217fc4,東大,福岡大G,A,春季オープン戦,Normal,nan,nan,nan,nan,Nothing,nan,nan,nan,nan,nan,2504810072,ボール,,4769.0,https://youtu.be/6fvRWZlnXt4&t=4769,2044.0,https://youtu.be/Pf4AXbC6-x8&t=2044,batter8,batter5,batter3,batter1,batter9,batter6,batter7,batter4,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","酒井,竹山,門田,大原,杉浦,秋元,矢田貝,青貝,小村","pos1,batter8,batter5,batter3,batter1,batter9,batter6,batter7,batter4","松本慎,杉浦,門田,秋元,青貝,小村,大原,酒井,竹山","L,R,L,L,R,R,L,L,R,L","R,L,R,R,R,R,R,R,R,L"
73,28.0,69.0,2025/2/18,4783.544523,4558.544524,1739856735,2.0,2.0,pos1,Right,福岡大,2,竹山,Right,TOK,3,Top,1,1,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,nan,,1.09,0.413,,,福岡大,#bc0015,福岡大,TOK,#217fc4,東大,福岡大G,A,春季オープン戦,Normal,nan,nan,nan,nan,Nothing,nan,nan,nan,nan,nan,2504810073,ボール,,4781.0,https://youtu.be/6fvRWZlnXt4&t=4781,2056.0,https://youtu.be/Pf4AXbC6-x8&t=2056,batter8,batter5,batter3,batter1,batter9,batter6,batter7,batter4,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","酒井,竹山,門田,大原,杉浦,秋元,矢田貝,青貝,小村","pos1,batter8,batter5,batter3,batter1,batter9,batter6,batter7,batter4","松本慎,杉浦,門田,秋元,青貝,小村,大原,酒井,竹山","L,R,L,L,R,R,L,L,R,L","R,L,R,R,R,R,R,R,R,L"
74,29.0,70.0,2025/2/18,4797.797666,4572.797667,1739856749,2.0,3.0,pos1,Right,福岡大,2,竹山,Right,TOK,3,Top,1,2,0,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,nan,,0.77,-0.252,,,福岡大,#bc0015,福岡大,TOK,#217fc4,東大,福岡大G,A,春季オープン戦,Normal,nan,nan,nan,nan,Nothing,nan,nan,nan,nan,nan,2504810074,見逃し,,4795.0,https://youtu.be/6fvRWZlnXt4&t=4795,2070.0,https://youtu.be/Pf4AXbC6-x8&t=2070,batter8,batter5,batter3,batter1,batter9,batter6,batter7,batter4,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","酒井,竹山,門田,大原,杉浦,秋元,矢田貝,青貝,小村","pos1,batter8,batter5,batter3,batter1,batter9,batter6,batter7,batter4","松本慎,杉浦,門田,秋元,青貝,小村,大原,酒井,竹山","L,R,L,L,R,R,L,L,R,L","R,L,R,R,R,R,R,R,R,L"
75,30.0,71.0,2025/2/18,4807.544471,4582.544472,1739856759,2.0,4.0,pos1,Right,福岡大,2,竹山,Right,TOK,3,Top,1,2,1,Fastball,FoulBall,Undefined,LineDrive,Undefined,0,0,nan,,0.738,-0.268,32.66220775,106.7983718,福岡大,#bc0015,福岡大,TOK,#217fc4,東大,福岡大G,A,春季オープン戦,Normal,nan,nan,nan,nan,Undefined,nan,nan,nan,nan,nan,2504810075,ファール,,4805.0,https://youtu.be/6fvRWZlnXt4&t=4805,2080.0,https://youtu.be/Pf4AXbC6-x8&t=2080,batter8,batter5,batter3,batter1,batter9,batter6,batter7,batter4,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","酒井,竹山,門田,大原,杉浦,秋元,矢田貝,青貝,小村","pos1,batter8,batter5,batter3,batter1,batter9,batter6,batter7,batter4","松本慎,杉浦,門田,秋元,青貝,小村,大原,酒井,竹山","L,R,L,L,R,R,L,L,R,L","R,L,R,R,R,R,R,R,R,L"
76,31.0,72.0,2025/2/18,4828.114617,4603.114617,1739856779,2.0,5.0,pos1,Right,福岡大,2,竹山,Right,TOK,3,Top,1,2,2,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,nan,,0.337,-0.292,,,福岡大,#bc0015,福岡大,TOK,#217fc4,東大,福岡大G,A,春季オープン戦,Normal,nan,nan,nan,nan,Nothing,nan,nan,nan,nan,nan,2504810076,ボール,,4826.0,https://youtu.be/6fvRWZlnXt4&t=4826,2091.0,https://youtu.be/Pf4AXbC6-x8&t=2091,batter8,batter5,batter3,batter1,batter9,batter6,batter7,batter4,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","酒井,竹山,門田,大原,杉浦,秋元,矢田貝,青貝,小村","pos1,batter8,batter5,batter3,batter1,batter9,batter6,batter7,batter4","松本慎,杉浦,門田,秋元,青貝,小村,大原,酒井,竹山","L,R,L,L,R,R,L,L,R,L","R,L,R,R,R,R,R,R,R,L"
77,32.0,73.0,2025/2/18,4843.975824,4618.975825,1739856795,2.0,6.0,pos1,Right,福岡大,2,竹山,Right,TOK,3,Top,1,3,2,Slider,FoulBall,Undefined,LineDrive,Undefined,0,0,nan,,0.546,-0.248,21.11773018,118.3549618,福岡大,#bc0015,福岡大,TOK,#217fc4,東大,福岡大G,A,春季オープン戦,Normal,nan,nan,nan,nan,Undefined,nan,nan,nan,nan,nan,2504810077,ファール,,4841.0,https://youtu.be/6fvRWZlnXt4&t=4841,2107.0,https://youtu.be/Pf4AXbC6-x8&t=2107,batter8,batter5,batter3,batter1,batter9,batter6,batter7,batter4,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","酒井,竹山,門田,大原,杉浦,秋元,矢田貝,青貝,小村","pos1,batter8,batter5,batter3,batter1,batter9,batter6,batter7,batter4","松本慎,杉浦,門田,秋元,青貝,小村,大原,酒井,竹山","L,R,L,L,R,R,L,L,R,L","R,L,R,R,R,R,R,R,R,L"
78,33.0,74.0,2025/2/18,4863.721768,4638.721769,1739856815,2.0,7.0,pos1,Right,福岡大,2,竹山,Right,TOK,3,Top,1,3,2,Slider,InPlay,Undefined,FlyBall,Out,1,0,nan,109.0,0.738,-0.228,32.7101269,50.85601359,福岡大,#bc0015,福岡大,TOK,#217fc4,東大,福岡大G,A,春季オープン戦,Normal,nan,nan,nan,nan,Undefined,nan,nan,nan,3,3,2504810078,一邪飛,,4861.0,https://youtu.be/6fvRWZlnXt4&t=4861,2116.0,https://youtu.be/Pf4AXbC6-x8&t=2116,batter8,batter5,batter3,batter1,batter9,batter6,batter7,batter4,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","酒井,竹山,門田,大原,杉浦,秋元,矢田貝,青貝,小村","pos1,batter8,batter5,batter3,batter1,batter9,batter6,batter7,batter4","松本慎,杉浦,門田,秋元,青貝,小村,大原,酒井,竹山","L,R,L,L,R,R,L,L,R,L","R,L,R,R,R,R,R,R,R,L"
79,34.0,75.0,2025/2/18,4894.978085,4669.978085,1739856846,3.0,1.0,pos1,Right,福岡大,3,門田,Right,TOK,3,Top,2,0,0,Slider,InPlay,Undefined,GroundBall,Out,1,0,nan,,0.742,-0.236,43.93200989,14.78272604,福岡大,#bc0015,福岡大,TOK,#217fc4,東大,福岡大G,A,春季オープン戦,Normal,nan,nan,nan,nan,Undefined,nan,nan,nan,"4,3","4,3A",2504810079,二ゴ,,4892.0,https://youtu.be/6fvRWZlnXt4&t=4892,2133.0,https://youtu.be/Pf4AXbC6-x8&t=2133,batter8,batter5,batter3,batter1,batter9,batter6,batter7,batter4,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","酒井,竹山,門田,大原,杉浦,秋元,矢田貝,青貝,小村","pos1,batter8,batter5,batter3,batter1,batter9,batter6,batter7,batter4","松本慎,杉浦,門田,秋元,青貝,小村,大原,酒井,竹山","L,R,L,L,R,R,L,L,R,L","R,L,R,R,R,R,R,R,R,L"
80,42.0,76.0,2025/2/18,5021.750667,4796.750668,1739856973,1.0,1.0,松本慎,Left,TOK,2,batter2,Left,福岡大,3,Bottom,0,0,0,Fastball,FoulBall,Undefined,GroundBall,Undefined,0,0,nan,,0.778,0.156,10.83041873,150.6422465,福岡大,#bc0015,福岡大,TOK,#217fc4,東大,福岡大G,A,春季オープン戦,Normal,nan,nan,nan,nan,Undefined,nan,nan,nan,nan,nan,2504810080,ファール,,5019.0,https://youtu.be/6fvRWZlnXt4&t=5019,2158.0,https://youtu.be/Pf4AXbC6-x8&t=2158,杉浦,門田,秋元,青貝,小村,大原,酒井,竹山,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","酒井,竹山,門田,大原,杉浦,秋元,矢田貝,青貝,小村","pos1,batter8,batter5,batter3,batter1,batter9,batter6,batter7,batter4","松本慎,杉浦,門田,秋元,青貝,小村,大原,酒井,竹山","L,R,L,L,R,R,L,L,R,L","R,L,R,R,R,R,R,R,R,L"
81,43.0,77.0,2025/2/18,5045.803419,4820.80342,1739856997,1.0,2.0,松本慎,Left,TOK,2,batter2,Left,福岡大,3,Bottom,0,0,1,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,nan,102.0,0.526,-0.076,,,福岡大,#bc0015,福岡大,TOK,#217fc4,東大,福岡大G,A,春季オープン戦,Normal,nan,nan,nan,nan,Nothing,nan,nan,nan,nan,nan,2504810081,見逃し,,5043.0,https://youtu.be/6fvRWZlnXt4&t=5043,2172.0,https://youtu.be/Pf4AXbC6-x8&t=2172,杉浦,門田,秋元,青貝,小村,大原,酒井,竹山,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","酒井,竹山,門田,大原,杉浦,秋元,矢田貝,青貝,小村","pos1,batter8,batter5,batter3,batter1,batter9,batter6,batter7,batter4","松本慎,杉浦,門田,秋元,青貝,小村,大原,酒井,竹山","L,R,L,L,R,R,L,L,R,L","R,L,R,R,R,R,R,R,R,L"
82,44.0,78.0,2025/2/18,5057.617619,4832.61762,1739857009,1.0,3.0,松本慎,Left,TOK,2,batter2,Left,福岡大,3,Bottom,0,0,2,ChangeUp,BallCalled,Undefined,Undefined,Undefined,0,0,nan,103.0,1.117,-0.264,,,福岡大,#bc0015,福岡大,TOK,#217fc4,東大,福岡大G,A,春季オープン戦,Normal,nan,nan,nan,nan,Nothing,nan,nan,nan,nan,nan,2504810082,ボール,,5055.0,https://youtu.be/6fvRWZlnXt4&t=5055,2184.0,https://youtu.be/Pf4AXbC6-x8&t=2184,杉浦,門田,秋元,青貝,小村,大原,酒井,竹山,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","酒井,竹山,門田,大原,杉浦,秋元,矢田貝,青貝,小村","pos1,batter8,batter5,batter3,batter1,batter9,batter6,batter7,batter4","松本慎,杉浦,門田,秋元,青貝,小村,大原,酒井,竹山","L,R,L,L,R,R,L,L,R,L","R,L,R,R,R,R,R,R,R,L"
83,45.0,79.0,2025/2/18,5073.242166,4848.242167,1739857025,1.0,4.0,松本慎,Left,TOK,2,batter2,Left,福岡大,3,Bottom,0,1,2,Slider,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,nan,120.0,0.494,0.34,,,福岡大,#bc0015,福岡大,TOK,#217fc4,東大,福岡大G,A,春季オープン戦,Normal,nan,nan,nan,nan,Nothing,nan,nan,nan,nan,nan,2504810083,空三振,,5071.0,https://youtu.be/6fvRWZlnXt4&t=5071,2199.0,https://youtu.be/Pf4AXbC6-x8&t=2199,杉浦,門田,秋元,青貝,小村,大原,酒井,竹山,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","酒井,竹山,門田,大原,杉浦,秋元,矢田貝,青貝,小村","pos1,batter8,batter5,batter3,batter1,batter9,batter6,batter7,batter4","松本慎,杉浦,門田,秋元,青貝,小村,大原,酒井,竹山","L,R,L,L,R,R,L,L,R,L","R,L,R,R,R,R,R,R,R,L"
84,46.0,80.0,2025/2/18,5103.05911,4878.059111,1739857054,2.0,1.0,松本慎,Left,TOK,3,batter3,Left,福岡大,3,Bottom,1,0,0,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,nan,93.0,0.566,-0.032,,,福岡大,#bc0015,福岡大,TOK,#217fc4,東大,福岡大G,A,春季オープン戦,Normal,nan,nan,nan,nan,Nothing,nan,nan,nan,nan,nan,2504810084,見逃し,,5101.0,https://youtu.be/6fvRWZlnXt4&t=5101,2219.0,https://youtu.be/Pf4AXbC6-x8&t=2219,杉浦,門田,秋元,青貝,小村,大原,酒井,竹山,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","酒井,竹山,門田,大原,杉浦,秋元,矢田貝,青貝,小村","pos1,batter8,batter5,batter3,batter1,batter9,batter6,batter7,batter4","松本慎,杉浦,門田,秋元,青貝,小村,大原,酒井,竹山","L,R,L,L,R,R,L,L,R,L","R,L,R,R,R,R,R,R,R,L"
85,47.0,81.0,2025/2/18,5115.567744,4890.567745,1739857067,2.0,2.0,松本慎,Left,TOK,3,batter3,Left,福岡大,3,Bottom,1,0,1,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,nan,,0.514,0.264,,,福岡大,#bc0015,福岡大,TOK,#217fc4,東大,福岡大G,A,春季オープン戦,Normal,nan,nan,nan,nan,Nothing,nan,nan,nan,nan,nan,2504810085,見逃し,,5113.0,https://youtu.be/6fvRWZlnXt4&t=5113,2231.0,https://youtu.be/Pf4AXbC6-x8&t=2231,杉浦,門田,秋元,青貝,小村,大原,酒井,竹山,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","酒井,竹山,門田,大原,杉浦,秋元,矢田貝,青貝,小村","pos1,batter8,batter5,batter3,batter1,batter9,batter6,batter7,batter4","松本慎,杉浦,門田,秋元,青貝,小村,大原,酒井,竹山","L,R,L,L,R,R,L,L,R,L","R,L,R,R,R,R,R,R,R,L"
86,48.0,82.0,2025/2/18,5127.919328,4902.919329,1739857079,2.0,3.0,松本慎,Left,TOK,3,batter3,Left,福岡大,3,Bottom,1,0,2,Slider,InPlay,Undefined,GroundBall,Error,0,0,nan,,0.514,0.264,27.8288529,-32.00538321,福岡大,#bc0015,福岡大,TOK,#217fc4,東大,福岡大G,A,春季オープン戦,Normal,nan,nan,nan,nan,Undefined,nan,青貝,nan,5,5E,2504810086,三ゴ失,,5125.0,https://youtu.be/6fvRWZlnXt4&t=5125,2244.0,https://youtu.be/Pf4AXbC6-x8&t=2244,杉浦,門田,秋元,青貝,小村,大原,酒井,竹山,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","酒井,竹山,門田,大原,杉浦,秋元,矢田貝,青貝,小村","pos1,batter8,batter5,batter3,batter1,batter9,batter6,batter7,batter4","松本慎,杉浦,門田,秋元,青貝,小村,大原,酒井,竹山","L,R,L,L,R,R,L,L,R,L","R,L,R,R,R,R,R,R,R,L"
