count,pitchcount,PitchNo,Date,time1,time2,time3,PAofInning,PitchofPA,Pitcher,PitcherThrows,PitcherTeam,dajun,Batter,BatterSide,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,memo,RelSpeed,PlateLocHeight,PlateLocSide,caught_distance,caught_direction,HomeTeam,hometeam_color,hometeam_abb,AwayTeam,awayteam_color,awayteam_abb,Stadium,Level,League,fielding_alignment,Notes,on_1b,on_2b,on_3b,runevent,run_person,error_person,scored_person,relateddefencepos,fielding_sequence,playid,result,description,c_time,c_URL,n_time,n_URL,C,1B,2B,3B,SS,LF,CF,RF,BOh,BOa,DOh,DOa,LRh,LRa,Batter_romaji,on_1b_romaji,on_2b_romaji,on_3b_romaji,Pitcher_romaji,C_romaji,1B_romaji,2B_romaji,3B_romaji,SS_romaji,LF_romaji,CF_romaji,RF_romaji,error_person_romaji,scored_person_romaji,run_person_romaji
58,21.0,58.0,2025/8/19,3298.485554,1798.485557,1755568126,3.0,2.0,pos1,Right,立正大,7,田崎,Right,TOK,2,Top,2,1,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,,0.458,-0.42,,,立正大,#0000a0,立正大,TOK,#217fc4,東大,_120,B,夏季オープン戦,Normal,,,,,Nothing,,,,,,2523020058,ボール,,3296.0,https://youtu.be/NGnaMlDQ-sM&t=3296,1392.0,https://www.youtube.com/watch?v=G5kSI8kClPM&t=1392,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","大沼,長谷川,スタンリー,矢田貝,堀端,山本,田崎,内海,塗師","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","栗林,内海,スタンリー,塗師,大沼,田崎,山本,堀端,長谷川","R,L,L,L,R,L,L,L,R,L","R,R,L,R,R,L,R,R,R,R","Tasaki, Shu",,,,,,,,,,,,,,,
59,22.0,59.0,2025/8/19,3310.799116,1810.799119,1755568139,3.0,3.0,pos1,Right,立正大,7,田崎,Right,TOK,2,Top,2,2,0,Fastball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,125.0,0.554,-0.42,,,立正大,#0000a0,立正大,TOK,#217fc4,東大,_120,B,夏季オープン戦,Normal,,,,,Nothing,,,,,,2523020059,空振り,,3308.0,https://youtu.be/NGnaMlDQ-sM&t=3308,1405.0,https://www.youtube.com/watch?v=G5kSI8kClPM&t=1405,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","大沼,長谷川,スタンリー,矢田貝,堀端,山本,田崎,内海,塗師","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","栗林,内海,スタンリー,塗師,大沼,田崎,山本,堀端,長谷川","R,L,L,L,R,L,L,L,R,L","R,R,L,R,R,L,R,R,R,R","Tasaki, Shu",,,,,,,,,,,,,,,
60,23.0,60.0,2025/8/19,3328.057508,1828.057513,1755568156,3.0,4.0,pos1,Right,立正大,7,田崎,Right,TOK,2,Top,2,2,1,Fastball,FoulBall,Undefined,GroundBall,Undefined,0,0,,,0.614,0.032,19.78821219,-63.43494882,立正大,#0000a0,立正大,TOK,#217fc4,東大,_120,B,夏季オープン戦,Normal,,,,,Undefined,,,,,,2523020060,ファール,,3326.0,https://youtu.be/NGnaMlDQ-sM&t=3326,1422.0,https://www.youtube.com/watch?v=G5kSI8kClPM&t=1422,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","大沼,長谷川,スタンリー,矢田貝,堀端,山本,田崎,内海,塗師","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","栗林,内海,スタンリー,塗師,大沼,田崎,山本,堀端,長谷川","R,L,L,L,R,L,L,L,R,L","R,R,L,R,R,L,R,R,R,R","Tasaki, Shu",,,,,,,,,,,,,,,
61,24.0,61.0,2025/8/19,3361.725396,1861.725401,1755568190,3.0,5.0,pos1,Right,立正大,7,田崎,Right,TOK,2,Top,2,2,2,Slider,InPlay,Undefined,LineDrive,Single,0,0,,119.0,0.666,-0.06,65.78171091,0.0,立正大,#0000a0,立正大,TOK,#217fc4,東大,_120,B,夏季オープン戦,Normal,,,,,Undefined,,,,8,8,2523020061,中安,,3359.0,https://youtu.be/NGnaMlDQ-sM&t=3359,1456.0,https://www.youtube.com/watch?v=G5kSI8kClPM&t=1456,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","大沼,長谷川,スタンリー,矢田貝,堀端,山本,田崎,内海,塗師","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","栗林,内海,スタンリー,塗師,大沼,田崎,山本,堀端,長谷川","R,L,L,L,R,L,L,L,R,L","R,R,L,R,R,L,R,R,R,R","Tasaki, Shu",,,,,,,,,,,,,,,
62,25.0,62.0,2025/8/19,3402.926297,1902.926299,1755568231,4.0,1.0,pos1,Right,立正大,8,内海,Right,TOK,2,Top,2,0,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,132.0,0.514,-0.513,,,立正大,#0000a0,立正大,TOK,#217fc4,東大,_120,B,夏季オープン戦,Normal,1,田崎,,,Nothing,,,,,,2523020062,ボール,,3400.0,https://youtu.be/NGnaMlDQ-sM&t=3400,1484.0,https://www.youtube.com/watch?v=G5kSI8kClPM&t=1484,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","大沼,長谷川,スタンリー,矢田貝,堀端,山本,田崎,内海,塗師","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","栗林,内海,スタンリー,塗師,大沼,田崎,山本,堀端,長谷川","R,L,L,L,R,L,L,L,R,L","R,R,L,R,R,L,R,R,R,R","Uchiumi, Noboru","Tasaki, Shu",,,,,,,,,,,,,,
63,26.0,63.0,2025/8/19,3418.58855,1918.588554,1755568247,4.0,2.0,pos1,Right,立正大,8,内海,Right,TOK,2,Top,2,1,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,132.0,0.59,-0.473,,,立正大,#0000a0,立正大,TOK,#217fc4,東大,_120,B,夏季オープン戦,Normal,1,田崎,,,Nothing,,,,,,2523020063,ボール,,3416.0,https://youtu.be/NGnaMlDQ-sM&t=3416,1500.0,https://www.youtube.com/watch?v=G5kSI8kClPM&t=1500,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","大沼,長谷川,スタンリー,矢田貝,堀端,山本,田崎,内海,塗師","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","栗林,内海,スタンリー,塗師,大沼,田崎,山本,堀端,長谷川","R,L,L,L,R,L,L,L,R,L","R,R,L,R,R,L,R,R,R,R","Uchiumi, Noboru","Tasaki, Shu",,,,,,,,,,,,,,
64,27.0,64.0,2025/8/19,3439.987998,1939.988004,1755568268,4.0,3.0,pos1,Right,立正大,8,内海,Right,TOK,2,Top,2,2,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,127.0,0.197,-0.427,,,立正大,#0000a0,立正大,TOK,#217fc4,東大,_120,B,夏季オープン戦,Normal,1,田崎,,,Nothing,,,,,,2523020064,ボール,,3437.0,https://youtu.be/NGnaMlDQ-sM&t=3437,1522.0,https://www.youtube.com/watch?v=G5kSI8kClPM&t=1522,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","大沼,長谷川,スタンリー,矢田貝,堀端,山本,田崎,内海,塗師","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","栗林,内海,スタンリー,塗師,大沼,田崎,山本,堀端,長谷川","R,L,L,L,R,L,L,L,R,L","R,R,L,R,R,L,R,R,R,R","Uchiumi, Noboru","Tasaki, Shu",,,,,,,,,,,,,,
65,28.0,65.0,2025/8/19,3463.828963,1963.828964,1755568292,4.0,4.0,pos1,Right,立正大,8,内海,Right,TOK,2,Top,2,3,0,Fastball,FoulBall,Undefined,GroundBall,Undefined,0,0,,,0.854,-0.012,19.14452005,123.6900675,立正大,#0000a0,立正大,TOK,#217fc4,東大,_120,B,夏季オープン戦,Normal,1,田崎,,,Undefined,,,,,,2523020065,ファール,,3461.0,https://youtu.be/NGnaMlDQ-sM&t=3461,1545.0,https://www.youtube.com/watch?v=G5kSI8kClPM&t=1545,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","大沼,長谷川,スタンリー,矢田貝,堀端,山本,田崎,内海,塗師","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","栗林,内海,スタンリー,塗師,大沼,田崎,山本,堀端,長谷川","R,L,L,L,R,L,L,L,R,L","R,R,L,R,R,L,R,R,R,R","Uchiumi, Noboru","Tasaki, Shu",,,,,,,,,,,,,,
66,29.0,66.0,2025/8/19,3487.308148,1987.308152,1755568315,4.0,5.0,pos1,Right,立正大,8,内海,Right,TOK,2,Top,2,3,1,Fastball,BallCalled,Walk,Undefined,Undefined,0,0,,,1.197,0.148,,,立正大,#0000a0,立正大,TOK,#217fc4,東大,_120,B,夏季オープン戦,Normal,1,田崎,,,Nothing,,,,,,2523020066,四球,,3485.0,https://youtu.be/NGnaMlDQ-sM&t=3485,1569.0,https://www.youtube.com/watch?v=G5kSI8kClPM&t=1569,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","大沼,長谷川,スタンリー,矢田貝,堀端,山本,田崎,内海,塗師","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","栗林,内海,スタンリー,塗師,大沼,田崎,山本,堀端,長谷川","R,L,L,L,R,L,L,L,R,L","R,R,L,R,R,L,R,R,R,R","Uchiumi, Noboru","Tasaki, Shu",,,,,,,,,,,,,,
67,30.0,67.0,2025/8/19,3561.977445,2061.977447,1755568390,5.0,1.0,pos1,Right,立正大,9,塗師,Right,TOK,2,Top,2,0,0,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,0.602,0.16,,,立正大,#0000a0,立正大,TOK,#217fc4,東大,_120,B,夏季オープン戦,OFFW,"1,2",内海,田崎,,Nothing,,,,,,2523020067,見逃し,,3559.0,https://youtu.be/NGnaMlDQ-sM&t=3559,1593.0,https://www.youtube.com/watch?v=G5kSI8kClPM&t=1593,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","大沼,長谷川,スタンリー,矢田貝,堀端,山本,田崎,内海,塗師","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","栗林,内海,スタンリー,塗師,大沼,田崎,山本,堀端,長谷川","R,L,L,L,R,L,L,L,R,L","R,R,L,R,R,L,R,R,R,R","Takuma, Nushi","Uchiumi, Noboru","Tasaki, Shu",,,,,,,,,,,,,
68,31.0,68.0,2025/8/19,3585.467362,2085.467364,1755568413,5.0,2.0,pos1,Right,立正大,9,塗師,Right,TOK,2,Top,2,0,1,Fastball,FoulBall,Undefined,FlyBall,Undefined,0,0,,,0.862,-0.076,25.98550507,92.6025622,立正大,#0000a0,立正大,TOK,#217fc4,東大,_120,B,夏季オープン戦,OFFW,"1,2",内海,田崎,,Undefined,,,,,,2523020068,ファール,,3583.0,https://youtu.be/NGnaMlDQ-sM&t=3583,1617.0,https://www.youtube.com/watch?v=G5kSI8kClPM&t=1617,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","大沼,長谷川,スタンリー,矢田貝,堀端,山本,田崎,内海,塗師","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","栗林,内海,スタンリー,塗師,大沼,田崎,山本,堀端,長谷川","R,L,L,L,R,L,L,L,R,L","R,R,L,R,R,L,R,R,R,R","Takuma, Nushi","Uchiumi, Noboru","Tasaki, Shu",,,,,,,,,,,,,
69,32.0,69.0,2025/8/19,3614.488783,2114.488786,1755568442,5.0,3.0,pos1,Right,立正大,9,塗師,Right,TOK,2,Top,2,0,2,Fastball,FoulBall,Undefined,LineDrive,Undefined,0,0,,,0.85,0.1,25.47996469,110.3231368,立正大,#0000a0,立正大,TOK,#217fc4,東大,_120,B,夏季オープン戦,OFFW,"1,2",内海,田崎,,Undefined,,,,,,2523020069,ファール,,3612.0,https://youtu.be/NGnaMlDQ-sM&t=3612,1646.0,https://www.youtube.com/watch?v=G5kSI8kClPM&t=1646,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","大沼,長谷川,スタンリー,矢田貝,堀端,山本,田崎,内海,塗師","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","栗林,内海,スタンリー,塗師,大沼,田崎,山本,堀端,長谷川","R,L,L,L,R,L,L,L,R,L","R,R,L,R,R,L,R,R,R,R","Takuma, Nushi","Uchiumi, Noboru","Tasaki, Shu",,,,,,,,,,,,,
70,33.0,70.0,2025/8/19,3661.380847,2161.380848,1755568489,5.0,4.0,pos1,Right,立正大,9,塗師,Right,TOK,2,Top,2,0,2,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,,0.582,-0.407,,,立正大,#0000a0,立正大,TOK,#217fc4,東大,_120,B,夏季オープン戦,OFFW,"1,2",内海,田崎,,Nothing,,,,,,2523020070,ボール,,3659.0,https://youtu.be/NGnaMlDQ-sM&t=3659,1693.0,https://www.youtube.com/watch?v=G5kSI8kClPM&t=1693,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","大沼,長谷川,スタンリー,矢田貝,堀端,山本,田崎,内海,塗師","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","栗林,内海,スタンリー,塗師,大沼,田崎,山本,堀端,長谷川","R,L,L,L,R,L,L,L,R,L","R,R,L,R,R,L,R,R,R,R","Takuma, Nushi","Uchiumi, Noboru","Tasaki, Shu",,,,,,,,,,,,,
71,34.0,71.0,2025/8/19,3679.292785,2179.292789,1755568507,5.0,5.0,pos1,Right,立正大,9,塗師,Right,TOK,2,Top,2,1,2,Fastball,InPlay,Undefined,LineDrive,Single,0,0,,,0.618,-0.164,55.50506316,29.97149493,立正大,#0000a0,立正大,TOK,#217fc4,東大,_120,B,夏季オープン戦,OFFW,"1,2",内海,田崎,,Undefined,,,,9,9,2523020071,右安,,3677.0,https://youtu.be/NGnaMlDQ-sM&t=3677,1710.0,https://www.youtube.com/watch?v=G5kSI8kClPM&t=1710,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","大沼,長谷川,スタンリー,矢田貝,堀端,山本,田崎,内海,塗師","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","栗林,内海,スタンリー,塗師,大沼,田崎,山本,堀端,長谷川","R,L,L,L,R,L,L,L,R,L","R,R,L,R,R,L,R,R,R,R","Takuma, Nushi","Uchiumi, Noboru","Tasaki, Shu",,,,,,,,,,,,,
72,35.0,72.0,2025/8/19,3737.176769,2237.176775,1755568565,6.0,1.0,pos1,Right,立正大,1,大沼,Right,TOK,2,Top,2,0,0,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,,1.183,0.244,,,立正大,#0000a0,立正大,TOK,#217fc4,東大,_120,B,夏季オープン戦,Normal,"1,2,3",塗師,内海,田崎,Nothing,,,,,,2523020072,ボール,,3735.0,https://youtu.be/NGnaMlDQ-sM&t=3735,1752.0,https://www.youtube.com/watch?v=G5kSI8kClPM&t=1752,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","大沼,長谷川,スタンリー,矢田貝,堀端,山本,田崎,内海,塗師","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","栗林,内海,スタンリー,塗師,大沼,田崎,山本,堀端,長谷川","R,L,L,L,R,L,L,L,R,L","R,R,L,R,R,L,R,R,R,R","Onuma, Atomu","Takuma, Nushi","Uchiumi, Noboru","Tasaki, Shu",,,,,,,,,,,,
73,36.0,73.0,2025/8/19,3755.500144,2255.500148,1755568584,6.0,2.0,pos1,Right,立正大,1,大沼,Right,TOK,2,Top,2,1,0,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,0.554,0.244,,,立正大,#0000a0,立正大,TOK,#217fc4,東大,_120,B,夏季オープン戦,Normal,"1,2,3",塗師,内海,田崎,Nothing,,,,,,2523020073,見逃し,,3753.0,https://youtu.be/NGnaMlDQ-sM&t=3753,1770.0,https://www.youtube.com/watch?v=G5kSI8kClPM&t=1770,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","大沼,長谷川,スタンリー,矢田貝,堀端,山本,田崎,内海,塗師","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","栗林,内海,スタンリー,塗師,大沼,田崎,山本,堀端,長谷川","R,L,L,L,R,L,L,L,R,L","R,R,L,R,R,L,R,R,R,R","Onuma, Atomu","Takuma, Nushi","Uchiumi, Noboru","Tasaki, Shu",,,,,,,,,,,,
74,37.0,74.0,2025/8/19,3776.615358,2276.615364,1755568605,6.0,3.0,pos1,Right,立正大,1,大沼,Right,TOK,2,Top,2,1,1,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,123.0,0.237,-0.28,,,立正大,#0000a0,立正大,TOK,#217fc4,東大,_120,B,夏季オープン戦,Normal,"1,2,3",塗師,内海,田崎,Nothing,,,,,,2523020074,ボール,,3774.0,https://youtu.be/NGnaMlDQ-sM&t=3774,1791.0,https://www.youtube.com/watch?v=G5kSI8kClPM&t=1791,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","大沼,長谷川,スタンリー,矢田貝,堀端,山本,田崎,内海,塗師","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","栗林,内海,スタンリー,塗師,大沼,田崎,山本,堀端,長谷川","R,L,L,L,R,L,L,L,R,L","R,R,L,R,R,L,R,R,R,R","Onuma, Atomu","Takuma, Nushi","Uchiumi, Noboru","Tasaki, Shu",,,,,,,,,,,,
75,38.0,75.0,2025/8/19,3798.158909,2298.158912,1755568626,6.0,4.0,pos1,Right,立正大,1,大沼,Right,TOK,2,Top,2,2,1,Fastball,FoulBall,Undefined,LineDrive,Undefined,0,0,,,1.07,0.092,16.10306084,151.5570714,立正大,#0000a0,立正大,TOK,#217fc4,東大,_120,B,夏季オープン戦,Normal,"1,2,3",塗師,内海,田崎,Undefined,,,,,,2523020075,ファール,,3796.0,https://youtu.be/NGnaMlDQ-sM&t=3796,1813.0,https://www.youtube.com/watch?v=G5kSI8kClPM&t=1813,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","大沼,長谷川,スタンリー,矢田貝,堀端,山本,田崎,内海,塗師","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","栗林,内海,スタンリー,塗師,大沼,田崎,山本,堀端,長谷川","R,L,L,L,R,L,L,L,R,L","R,R,L,R,R,L,R,R,R,R","Onuma, Atomu","Takuma, Nushi","Uchiumi, Noboru","Tasaki, Shu",,,,,,,,,,,,
76,39.0,76.0,2025/8/19,3830.391866,2330.39187,1755568658,6.0,5.0,pos1,Right,立正大,1,大沼,Right,TOK,2,Top,2,2,2,Fastball,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,,1.143,0.248,,,立正大,#0000a0,立正大,TOK,#217fc4,東大,_120,B,夏季オープン戦,Normal,"1,2,3",塗師,内海,田崎,Nothing,,,,,,2523020076,空三振,,3828.0,https://youtu.be/NGnaMlDQ-sM&t=3828,1845.0,https://www.youtube.com/watch?v=G5kSI8kClPM&t=1845,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","大沼,長谷川,スタンリー,矢田貝,堀端,山本,田崎,内海,塗師","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","栗林,内海,スタンリー,塗師,大沼,田崎,山本,堀端,長谷川","R,L,L,L,R,L,L,L,R,L","R,R,L,R,R,L,R,R,R,R","Onuma, Atomu","Takuma, Nushi","Uchiumi, Noboru","Tasaki, Shu",,,,,,,,,,,,
77,38.0,77.0,2025/8/19,3956.669375,2456.669379,1755568785,1.0,1.0,栗林,Right,TOK,8,batter8,Right,立正大,2,Bottom,0,0,0,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,109.0,0.606,-0.012,,,立正大,#0000a0,立正大,TOK,#217fc4,東大,_120,B,夏季オープン戦,Normal,,,,,Nothing,,,,,,2523020077,見逃し,,3954.0,https://youtu.be/NGnaMlDQ-sM&t=3954,1942.0,https://www.youtube.com/watch?v=G5kSI8kClPM&t=1942,内海,スタンリー,塗師,大沼,田崎,山本,堀端,長谷川,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","大沼,長谷川,スタンリー,矢田貝,堀端,山本,田崎,内海,塗師","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","栗林,内海,スタンリー,塗師,大沼,田崎,山本,堀端,長谷川","R,L,L,L,R,L,L,L,R,L","R,R,L,R,R,L,R,R,R,R",,,,,"Kazuki, Kuribayashi","Uchiumi, Noboru","Kai, Stanley","Takuma, Nushi","Onuma, Atomu","Tasaki, Shu","Akira, Yamamoto","Taiki, Horibata","Hasegawa, Yu",,,
78,39.0,78.0,2025/8/19,3968.986638,2468.986642,1755568797,1.0,2.0,栗林,Right,TOK,8,batter8,Right,立正大,2,Bottom,0,0,1,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,,0.343,-0.367,,,立正大,#0000a0,立正大,TOK,#217fc4,東大,_120,B,夏季オープン戦,Normal,,,,,Nothing,,,,,,2523020078,ボール,,3966.0,https://youtu.be/NGnaMlDQ-sM&t=3966,1954.0,https://www.youtube.com/watch?v=G5kSI8kClPM&t=1954,内海,スタンリー,塗師,大沼,田崎,山本,堀端,長谷川,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","大沼,長谷川,スタンリー,矢田貝,堀端,山本,田崎,内海,塗師","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","栗林,内海,スタンリー,塗師,大沼,田崎,山本,堀端,長谷川","R,L,L,L,R,L,L,L,R,L","R,R,L,R,R,L,R,R,R,R",,,,,"Kazuki, Kuribayashi","Uchiumi, Noboru","Kai, Stanley","Takuma, Nushi","Onuma, Atomu","Tasaki, Shu","Akira, Yamamoto","Taiki, Horibata","Hasegawa, Yu",,,
79,40.0,79.0,2025/8/19,3980.217835,2480.217839,1755568808,1.0,3.0,栗林,Right,TOK,8,batter8,Right,立正大,2,Bottom,0,1,1,Curveball,InPlay,Undefined,Popup,Out,1,0,,,1.057,0.108,14.27253145,-18.06047194,立正大,#0000a0,立正大,TOK,#217fc4,東大,_120,B,夏季オープン戦,Normal,,,,,Undefined,,,,5,5,2523020079,三飛,,3978.0,https://youtu.be/NGnaMlDQ-sM&t=3978,1966.0,https://www.youtube.com/watch?v=G5kSI8kClPM&t=1966,内海,スタンリー,塗師,大沼,田崎,山本,堀端,長谷川,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","大沼,長谷川,スタンリー,矢田貝,堀端,山本,田崎,内海,塗師","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","栗林,内海,スタンリー,塗師,大沼,田崎,山本,堀端,長谷川","R,L,L,L,R,L,L,L,R,L","R,R,L,R,R,L,R,R,R,R",,,,,"Kazuki, Kuribayashi","Uchiumi, Noboru","Kai, Stanley","Takuma, Nushi","Onuma, Atomu","Tasaki, Shu","Akira, Yamamoto","Taiki, Horibata","Hasegawa, Yu",,,
80,41.0,80.0,2025/8/19,4013.622261,2513.622264,1755568842,2.0,1.0,栗林,Right,TOK,9,batter9,Left,立正大,2,Bottom,1,0,0,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,,0.21,-0.38,,,立正大,#0000a0,立正大,TOK,#217fc4,東大,_120,B,夏季オープン戦,Normal,,,,,Nothing,,,,,,2523020080,ボール,,4011.0,https://youtu.be/NGnaMlDQ-sM&t=4011,1991.0,https://www.youtube.com/watch?v=G5kSI8kClPM&t=1991,内海,スタンリー,塗師,大沼,田崎,山本,堀端,長谷川,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","大沼,長谷川,スタンリー,矢田貝,堀端,山本,田崎,内海,塗師","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","栗林,内海,スタンリー,塗師,大沼,田崎,山本,堀端,長谷川","R,L,L,L,R,L,L,L,R,L","R,R,L,R,R,L,R,R,R,R",,,,,"Kazuki, Kuribayashi","Uchiumi, Noboru","Kai, Stanley","Takuma, Nushi","Onuma, Atomu","Tasaki, Shu","Akira, Yamamoto","Taiki, Horibata","Hasegawa, Yu",,,
81,42.0,81.0,2025/8/19,4022.997814,2522.997816,1755568851,2.0,2.0,栗林,Right,TOK,9,batter9,Left,立正大,2,Bottom,1,1,0,Fastball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,,0.19,-0.184,,,立正大,#0000a0,立正大,TOK,#217fc4,東大,_120,B,夏季オープン戦,Normal,,,,,Nothing,,,,,,2523020081,空振り,,4020.0,https://youtu.be/NGnaMlDQ-sM&t=4020,2001.0,https://www.youtube.com/watch?v=G5kSI8kClPM&t=2001,内海,スタンリー,塗師,大沼,田崎,山本,堀端,長谷川,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","大沼,長谷川,スタンリー,矢田貝,堀端,山本,田崎,内海,塗師","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","栗林,内海,スタンリー,塗師,大沼,田崎,山本,堀端,長谷川","R,L,L,L,R,L,L,L,R,L","R,R,L,R,R,L,R,R,R,R",,,,,"Kazuki, Kuribayashi","Uchiumi, Noboru","Kai, Stanley","Takuma, Nushi","Onuma, Atomu","Tasaki, Shu","Akira, Yamamoto","Taiki, Horibata","Hasegawa, Yu",,,
